airfoilName,reynoldsNumber,alpha,coefficientLift,coefficientDrag,coefficientMoment,max_thickness,thickness_position,max_camber,camber_position,leading_edge_radius,trailing_edge_angle_deg_y,thickness_x_0.2_y,thickness_x_0.4_y,thickness_x_0.6_y,thickness_x_0.8_y,camber_x_0.25_y,camber_x_0.5_y,camber_x_0.75_y,upper_slope_x_0.2_y,upper_slope_x_0.5_y,upper_slope_x_0.8_y,lower_slope_x_0.2_y,lower_slope_x_0.5_y,lower_slope_x_0.8_y,,,,
kc135a,50000,-5,-0.6264,0.03392,0.0057,0.154881457,0.351758794,0.015759598,0.195979899,0.020511475,16.34891452,0.136011176,0.153451829,0.114855638,0.057539035,0.015513021,0.012899623,0.007071131,0.1199,-0.1146,-0.1716,-0.1247,0.0859,0.1154,,,,
kc135a,50000,-4.75,-0.6061,0.03307,0.007,0.154881457,0.351758794,0.015759598,0.195979899,0.020511475,16.34891452,0.136011176,0.153451829,0.114855638,0.057539035,0.015513021,0.012899623,0.007071131,0.1199,-0.1146,-0.1716,-0.1247,0.0859,0.1154,,,,
kc135a,50000,-4.5,-0.587,0.03209,0.0084,0.154881457,0.351758794,0.015759598,0.195979899,0.020511475,16.34891452,0.136011176,0.153451829,0.114855638,0.057539035,0.015513021,0.012899623,0.007071131,0.1199,-0.1146,-0.1716,-0.1247,0.0859,0.1154,,,,
kc135a,50000,-4.25,-0.5722,0.03135,0.0104,0.154881457,0.351758794,0.015759598,0.195979899,0.020511475,16.34891452,0.136011176,0.153451829,0.114855638,0.057539035,0.015513021,0.012899623,0.007071131,0.1199,-0.1146,-0.1716,-0.1247,0.0859,0.1154,,,,
kc135a,50000,-4,-0.5611,0.03046,0.0126,0.154881457,0.351758794,0.015759598,0.195979899,0.020511475,16.34891452,0.136011176,0.153451829,0.114855638,0.057539035,0.015513021,0.012899623,0.007071131,0.1199,-0.1146,-0.1716,-0.1247,0.0859,0.1154,,,,
kc135a,50000,-3.75,-0.5507,0.02954,0.0148,0.154881457,0.351758794,0.015759598,0.195979899,0.020511475,16.34891452,0.136011176,0.153451829,0.114855638,0.057539035,0.015513021,0.012899623,0.007071131,0.1199,-0.1146,-0.1716,-0.1247,0.0859,0.1154,,,,
kc135a,50000,-3.5,-0.5232,0.02798,0.0133,0.154881457,0.351758794,0.015759598,0.195979899,0.020511475,16.34891452,0.136011176,0.153451829,0.114855638,0.057539035,0.015513021,0.012899623,0.007071131,0.1199,-0.1146,-0.1716,-0.1247,0.0859,0.1154,,,,
kc135a,50000,-3.25,-0.5212,0.02695,0.0188,0.154881457,0.351758794,0.015759598,0.195979899,0.020511475,16.34891452,0.136011176,0.153451829,0.114855638,0.057539035,0.015513021,0.012899623,0.007071131,0.1199,-0.1146,-0.1716,-0.1247,0.0859,0.1154,,,,
kc135a,50000,-3,-0.5163,0.02903,0.0285,0.154881457,0.351758794,0.015759598,0.195979899,0.020511475,16.34891452,0.136011176,0.153451829,0.114855638,0.057539035,0.015513021,0.012899623,0.007071131,0.1199,-0.1146,-0.1716,-0.1247,0.0859,0.1154,,,,
kc135a,50000,-2.75,-0.2666,0.0413,0.0156,0.154881457,0.351758794,0.015759598,0.195979899,0.020511475,16.34891452,0.136011176,0.153451829,0.114855638,0.057539035,0.015513021,0.012899623,0.007071131,0.1199,-0.1146,-0.1716,-0.1247,0.0859,0.1154,,,,
kc135a,50000,-2.5,-0.2115,0.04113,0.0085,0.154881457,0.351758794,0.015759598,0.195979899,0.020511475,16.34891452,0.136011176,0.153451829,0.114855638,0.057539035,0.015513021,0.012899623,0.007071131,0.1199,-0.1146,-0.1716,-0.1247,0.0859,0.1154,,,,
kc135a,50000,-2.25,-0.1791,0.04092,0.0051,0.154881457,0.351758794,0.015759598,0.195979899,0.020511475,16.34891452,0.136011176,0.153451829,0.114855638,0.057539035,0.015513021,0.012899623,0.007071131,0.1199,-0.1146,-0.1716,-0.1247,0.0859,0.1154,,,,
kc135a,50000,-2,-0.1459,0.04069,0.0016,0.154881457,0.351758794,0.015759598,0.195979899,0.020511475,16.34891452,0.136011176,0.153451829,0.114855638,0.057539035,0.015513021,0.012899623,0.007071131,0.1199,-0.1146,-0.1716,-0.1247,0.0859,0.1154,,,,
kc135a,50000,-1.75,-0.1008,0.04061,-0.0039,0.154881457,0.351758794,0.015759598,0.195979899,0.020511475,16.34891452,0.136011176,0.153451829,0.114855638,0.057539035,0.015513021,0.012899623,0.007071131,0.1199,-0.1146,-0.1716,-0.1247,0.0859,0.1154,,,,
kc135a,50000,-1.5,-0.0786,0.04049,-0.0054,0.154881457,0.351758794,0.015759598,0.195979899,0.020511475,16.34891452,0.136011176,0.153451829,0.114855638,0.057539035,0.015513021,0.012899623,0.007071131,0.1199,-0.1146,-0.1716,-0.1247,0.0859,0.1154,,,,
kc135a,50000,-1.25,-0.03,0.04047,-0.0115,0.154881457,0.351758794,0.015759598,0.195979899,0.020511475,16.34891452,0.136011176,0.153451829,0.114855638,0.057539035,0.015513021,0.012899623,0.007071131,0.1199,-0.1146,-0.1716,-0.1247,0.0859,0.1154,,,,
kc135a,50000,-1,-0.0048,0.04052,-0.0135,0.154881457,0.351758794,0.015759598,0.195979899,0.020511475,16.34891452,0.136011176,0.153451829,0.114855638,0.057539035,0.015513021,0.012899623,0.007071131,0.1199,-0.1146,-0.1716,-0.1247,0.0859,0.1154,,,,
kc135a,50000,-0.75,0.0399,0.04055,-0.0189,0.154881457,0.351758794,0.015759598,0.195979899,0.020511475,16.34891452,0.136011176,0.153451829,0.114855638,0.057539035,0.015513021,0.012899623,0.007071131,0.1199,-0.1146,-0.1716,-0.1247,0.0859,0.1154,,,,
kc135a,50000,-0.5,0.0809,0.0407,-0.0237,0.154881457,0.351758794,0.015759598,0.195979899,0.020511475,16.34891452,0.136011176,0.153451829,0.114855638,0.057539035,0.015513021,0.012899623,0.007071131,0.1199,-0.1146,-0.1716,-0.1247,0.0859,0.1154,,,,
kc135a,50000,-0.25,0.1145,0.04083,-0.0273,0.154881457,0.351758794,0.015759598,0.195979899,0.020511475,16.34891452,0.136011176,0.153451829,0.114855638,0.057539035,0.015513021,0.012899623,0.007071131,0.1199,-0.1146,-0.1716,-0.1247,0.0859,0.1154,,,,
kc135a,50000,0,0.1746,0.04096,-0.0353,0.154881457,0.351758794,0.015759598,0.195979899,0.020511475,16.34891452,0.136011176,0.153451829,0.114855638,0.057539035,0.015513021,0.012899623,0.007071131,0.1199,-0.1146,-0.1716,-0.1247,0.0859,0.1154,,,,
kc135a,50000,0.25,0.2016,0.0412,-0.038,0.154881457,0.351758794,0.015759598,0.195979899,0.020511475,16.34891452,0.136011176,0.153451829,0.114855638,0.057539035,0.015513021,0.012899623,0.007071131,0.1199,-0.1146,-0.1716,-0.1247,0.0859,0.1154,,,,
